id,new_date,y0,y1,y2,y3
raydium,2025-10-24,,2.8281946182250977,0.18604671955108643,
raydium,2025-10-25,,2.9247279167175293,0.19332696497440338,
raydium,2025-10-26,,2.909475088119507,0.20102068781852722,
raydium,2025-10-27,,3.3198390007019043,0.1946285367012024,
raydium,2025-10-28,,3.342897415161133,0.1933203488588333,
raydium,2025-10-29,,3.2517354488372803,0.19284221529960632,
raydium,2025-10-30,,3.137058734893799,0.1975902020931244,
raydium,2025-10-31,,3.1383893489837646,0.20440317690372467,
raydium,2025-11-01,,3.25016450881958,0.26382535696029663,
raydium,2025-11-02,,3.4760310649871826,0.30083349347114563,
raydium,2025-11-03,,3.372603178024292,0.26319199800491333,
raydium,2025-11-04,,3.2883687019348145,0.2720434069633484,
raydium,2025-11-05,,3.3279576301574707,0.26147323846817017,
raydium,2025-11-06,,3.791346549987793,0.25746825337409973,
raydium,2025-11-07,,4.667368412017822,0.256454199552536,
raydium,2025-11-08,,4.869016647338867,0.26253965497016907,
raydium,2025-11-09,,5.452345371246338,0.29982295632362366,
raydium,2025-11-10,,5.502100944519043,0.34065690636634827,
raydium,2025-11-11,,5.438054084777832,0.4034340977668762,
raydium,2025-11-12,,4.727947235107422,0.39442378282546997,
raydium,2025-11-13,,4.602627277374268,0.3683279752731323,
raydium,2025-11-14,,4.848381996154785,0.3560536801815033,
raydium,2025-11-15,,4.694392681121826,0.40427905321121216,
raydium,2025-11-16,,4.81868314743042,0.40595030784606934,
raydium,2025-11-17,,5.590547561645508,0.3677977919578552,
raydium,2025-11-18,,5.7244768142700195,0.366996705532074,
raydium,2025-11-19,,5.699281215667725,0.38331925868988037,
raydium,2025-11-20,,5.5075459480285645,0.37745875120162964,
raydium,2025-11-21,,5.841806888580322,0.354032963514328,
raydium,2025-11-22,,6.118514060974121,0.37792351841926575,
raydium,2025-11-23,,6.030843734741211,0.38298842310905457,
raydium,2025-11-24,,5.968872547149658,0.3813362419605255,
raydium,2025-11-25,,6.012419700622559,0.38708990812301636,
raydium,2025-11-26,,5.458250045776367,0.3792538344860077,
raydium,2025-11-27,,5.556576251983643,0.3595101833343506,
raydium,2025-11-28,,5.459874629974365,0.3695189654827118,
raydium,2025-11-29,,5.6855363845825195,0.38733547925949097,
raydium,2025-11-30,,5.536013603210449,0.39755240082740784,
raydium,2025-12-01,,5.358405590057373,0.42306333780288696,
raydium,2025-12-02,,5.009289264678955,0.45059874653816223,
raydium,2025-12-03,,4.971173286437988,0.45075562596321106,
raydium,2025-12-04,,5.117118835449219,0.4426642656326294,
raydium,2025-12-05,,5.021133899688721,0.4202783405780792,
raydium,2025-12-06,,4.975366592407227,0.43565285205841064,0.19092513620853424
